ID,run296.10-0MS_AGTTCC_L005,run296.11-5GS_ATGTCA_L006,run296.12-5MS_CCGTCC_L006,run296.13-20GS_GTCCGC_L007,run296.14-20MS_GTGAAA_L007,run296.15-150GS_GTGGCC_L008,run296.16-150MS_GTTTCG_L008,run296.9-0GS_AGTCAA_L005,run317.0GS-rep-2_TAGCTT_L001,run317.0GS-rep4_GTTTCG_L003,run317.0MS-rep-2_AGTCAA_L001,run317.0MS-rep-3_GTCCGC_L002,run317.20GS-rep-2_CTTGTA_L001,run317.20GS-rep4_GTGGCC_L003,run317.20MS-rep-2_ATGTCA_L002,run317.20MS-rep4_CGTACG_L003,run317.5GS-rep-2_GGCTAC_L001,run317.5GS-rep-3_CCGTCC_L002,run317.5MS-rep-2_AGTTCC_L002,run317.5MS-rep-3_GTGAAA_L003
AT1G01010,362,642,374,580,518,466,497,453,142,198,273,46,240,96,134,225,76,99,177,70
AT1G01020,588,627,548,1075,771,709,610,763,323,577,710,225,527,325,324,960,139,373,340,362
AT1G01030,5,1,2,4,2,1,3,1,2,0,0,1,0,1,1,2,0,0,0,0
AT1G01040,904,1139,1003,982,988,1207,1403,832,311,313,700,126,415,237,230,599,207,221,407,212
AT1G01046,5,3,1,5,8,3,8,1,0,0,2,0,1,1,0,1,0,0,0,0
AT1G01050,6699,8109,6911,8419,8618,8503,6968,8184,2822,4851,5452,1808,4201,2899,2696,5851,1674,2631,3498,2725
AT1G01060,718,1740,941,881,1422,890,884,947,152,392,588,45,564,138,191,520,171,317,389,168
AT1G01070,540,790,506,742,858,663,618,702,142,158,328,43,258,145,193,363,92,211,197,126
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,40,54,49,79,87,78,71,62,15,20,33,8,22,20,12,54,5,22,19,18
AT1G01090,17426,20811,17585,18961,20140,20210,19337,19990,5947,10379,13600,3974,9465,7357,6784,13259,4689,5837,8460,5759
AT1G01100,23940,25319,23877,31693,28187,28208,24066,27466,14239,27967,25110,13982,24141,16564,14867,40153,9190,15275,17124,18921
AT1G01110,355,321,348,515,484,461,544,388,136,115,324,44,174,132,145,335,59,65,165,92
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,1371,2578,1627,1516,1815,1382,1504,2102,293,484,632,110,844,200,334,593,213,570,506,201
AT1G01130,57,100,55,99,95,72,60,104,17,43,42,11,28,22,34,60,15,13,22,14
AT1G01140,48,173,66,104,75,100,83,90,19,92,88,8,45,32,31,36,12,11,34,9
AT1G01150,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
