ID,run296.10-0MS_AGTTCC_L005,run296.11-5GS_ATGTCA_L006,run296.12-5MS_CCGTCC_L006,run296.13-20GS_GTCCGC_L007,run296.14-20MS_GTGAAA_L007,run296.15-150GS_GTGGCC_L008,run296.16-150MS_GTTTCG_L008,run296.9-0GS_AGTCAA_L005,run317.0GS-rep-2_TAGCTT_L001,run317.0GS-rep4_GTTTCG_L003,run317.0MS-rep-2_AGTCAA_L001,run317.0MS-rep-3_GTCCGC_L002,run317.20GS-rep-2_CTTGTA_L001,run317.20GS-rep4_GTGGCC_L003,run317.20MS-rep-2_ATGTCA_L002,run317.20MS-rep4_CGTACG_L003,run317.5GS-rep-2_GGCTAC_L001,run317.5GS-rep-3_CCGTCC_L002,run317.5MS-rep-2_AGTTCC_L002,run317.5MS-rep-3_GTGAAA_L003
AT1G01010,362,642,374,580,518,466,497,453,142,198,273,46,240,96,134,225,76,99,177,70
AT1G01020,604,641,557,1101,791,720,626,777,324,585,728,228,541,328,327,978,142,377,342,364
AT1G01030,5,2,3,7,3,1,3,1,2,0,0,1,0,1,1,2,0,0,0,0
AT1G01040,904,1139,1003,982,988,1207,1403,832,311,313,700,126,415,237,230,599,207,221,407,212
AT1G01046,5,3,1,5,8,3,8,1,0,0,2,0,1,1,0,1,0,0,0,0
AT1G01050,6782,8254,7014,8534,8773,8643,7077,8305,2846,4915,5526,1826,4239,2941,2712,5914,1691,2650,3538,2759
AT1G01060,718,1747,943,881,1428,891,884,948,152,393,590,45,565,138,191,520,174,318,389,168
AT1G01070,542,790,507,743,861,663,624,702,142,158,328,43,258,145,194,363,92,211,199,127
AT1G01073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01080,40,54,49,79,87,78,71,62,15,20,33,8,22,20,12,54,5,22,19,18
AT1G01090,17426,20822,17585,18972,20143,20210,19340,19990,5947,10380,13601,3975,9465,7357,6784,13259,4689,5837,8460,5759
AT1G01100,24122,25495,23992,31890,28348,28424,24219,27647,14349,28295,25324,14074,24339,16688,14971,40503,9297,15374,17309,19085
AT1G01110,358,321,348,515,484,461,545,388,136,115,324,44,174,132,145,335,59,65,165,92
AT1G01115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01120,1371,2578,1627,1516,1815,1382,1504,2102,293,484,632,110,844,200,334,593,213,570,506,201
AT1G01130,57,100,55,99,95,72,60,104,17,43,42,11,28,22,34,60,15,13,22,14
AT1G01140,48,174,68,105,76,100,83,90,19,92,88,8,46,32,31,39,12,13,34,10
AT1G01150,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
AT1G01160,1030,1101,1053,1546,1636,1177,1186,1359,443,776,1073,296,806,540,522,1530,286,506,576,537
AT1G01170,15,23,11,43,34,33,23,43,5,13,14,0,42,9,2,29,4,23,11,20
AT1G01180,170,230,229,246,280,260,332,219,52,61,117,16,128,42,53,125,45,109,94,37
AT1G01183,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01190,1,0,1,1,2,3,0,3,0,1,0,0,2,0,0,1,1,0,1,0
AT1G01200,187,265,251,321,275,348,283,262,71,131,174,40,135,44,49,173,33,60,84,66
AT1G01210,662,697,648,886,792,859,814,745,412,768,910,219,673,442,438,1128,220,369,528,440
AT1G01220,1687,2017,1798,1859,2025,2478,2202,1757,531,757,1241,236,745,493,443,1002,277,355,697,325
AT1G01225,72,87,97,136,112,97,93,102,30,18,48,8,44,31,20,77,15,19,29,27
AT1G01230,1861,2152,1744,2606,2378,2284,2157,2211,929,1458,1814,600,1425,849,898,2127,449,876,1051,881
AT1G01240,33,71,67,153,110,76,105,90,26,34,69,9,63,36,27,85,10,79,31,25
AT1G01250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01260,863,992,906,911,1031,1127,1067,814,306,319,728,91,332,232,316,532,163,161,359,165
AT1G01270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01290,424,548,375,657,632,666,584,529,175,266,516,88,308,244,213,417,91,134,244,177
AT1G01300,4204,4841,4739,4716,4976,6081,4950,4712,1047,2202,2667,731,1983,1457,1136,2805,722,1024,1472,1062
AT1G01305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AT1G01310,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AT1G01320,284,357,336,414,405,397,354,284,79,142,282,43,140,115,91,216,62,71,158,74
AT1G01340,66,103,84,116,128,120,95,107,28,20,36,4,48,18,11,65,13,29,14,23
AT1G01350,901,1048,1007,1177,1145,1130,1109,1158,402,557,854,173,567,405,399,762,203,274,481,300
AT1G01355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01360,418,549,506,714,604,596,606,508,165,256,449,90,370,123,172,414,99,151,209,137
AT1G01370,236,261,256,345,359,410,314,251,128,176,307,63,211,127,146,377,63,83,147,122
AT1G01380,75,77,99,114,83,70,88,99,29,32,50,17,38,25,45,75,22,15,32,32
AT1G01390,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01420,1,11,1,8,10,5,5,3,1,6,7,0,3,0,0,2,1,4,0,1
AT1G01430,1306,1413,1383,1481,1471,1483,1390,1488,343,564,854,290,681,409,351,1083,240,362,488,452
AT1G01440,500,594,570,526,515,570,679,485,140,192,440,60,227,122,169,339,95,84,221,121
AT1G01448,54,73,49,153,96,98,60,62,25,41,71,10,59,39,22,122,8,27,22,31
AT1G01450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01453,533,1000,457,648,631,1170,415,658,101,282,252,56,316,41,102,186,42,53,123,45
AT1G01460,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
AT1G01470,1569,3459,1692,2238,2973,2952,2087,2498,474,3054,1384,297,1751,381,518,1329,336,1052,665,521
AT1G01471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01480,124,92,139,119,70,92,116,107,38,32,49,7,58,18,46,100,21,25,56,22
AT1G01490,1849,2764,1990,2624,2536,2378,1936,2674,876,1496,2013,440,1580,828,851,1952,515,1012,1104,801
AT1G01500,96,118,111,156,142,121,132,95,17,66,70,18,59,26,34,97,22,32,46,27
AT1G01510,2423,2666,2525,2677,2950,3182,3046,2601,927,1317,2247,376,1119,997,968,1823,627,506,1292,619
AT1G01520,2,2,1,1,2,1,3,1,1,1,0,0,4,0,0,2,0,0,0,0
AT1G01530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01540,2697,3391,2987,2919,3029,3213,3396,2763,1379,1742,2644,632,1623,1165,1304,2417,765,786,1777,862
AT1G01550,5994,8232,6230,7290,7815,6959,7086,7236,2377,3294,4952,1259,4197,2233,2570,4369,1524,2576,3129,1970
AT1G01560,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
AT1G01570,39,83,48,71,74,47,52,52,10,14,39,5,41,9,5,32,10,12,10,10
AT1G01580,76,399,91,166,440,65,146,148,121,248,68,9,35,29,77,855,47,2495,301,440
AT1G01590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01600,32,143,38,41,76,52,33,59,3,12,7,0,9,0,3,2,0,2,5,1
AT1G01610,1504,3573,1733,1856,2528,2039,1552,2397,142,402,469,13,554,153,205,258,114,584,334,106
AT1G01620,30557,26770,34613,33467,25263,24555,35066,31782,18028,15335,22943,12832,19931,16125,17913,40731,14063,18907,20744,17967
AT1G01630,4370,5612,4783,5041,5268,5466,5271,5015,1790,2312,3324,745,2314,1629,1712,2928,1144,1216,2322,1201
AT1G01640,66,236,106,136,181,133,135,142,14,42,79,8,40,26,30,86,20,84,29,37
AT1G01650,1757,2755,1946,2064,2428,2637,2339,2364,612,1446,1593,425,1303,576,557,1668,372,609,876,607
AT1G01660,124,196,129,154,174,226,170,150,37,81,139,28,119,34,47,135,26,42,53,43
AT1G01670,8,8,4,14,13,8,8,5,2,4,7,2,6,3,2,14,0,3,2,3
AT1G01680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT1G01690,233,294,260,392,395,466,379,315,87,144,244,51,119,88,95,278,57,61,114,86
AT1G01695,0,1,2,1,2,2,1,2,0,0,1,0,0,0,2,2,0,0,1,0
